SampleID,picogreen_ngul
DL13-YR-0707-EP,1.37
DL13-YR-0807-EP,9.56
DL13-YR-0907-EP,11.79
DL13-YR-1107-EP,8.94
DL13-YR-1207-EP,12.71
DL13-YR-1307-EP,9.93
DL13-YR-1407-EP,9.77
DL13-YR-0108-EP,18.14
DL13-YR-0608-EP,10.32
DL13-YR-0708-EP,23.79
DL13-YR-0808-EP,0.34
DL13-YR-1008-EP,2.96
DL13-YR-1408-EP,14.29
DL13-YR-1508-EP,7.98
DL13-YR-1608-EP,nd
DL13-YR-0109-EP,1.62
DL13-YR-0209-EP,3.87
DL13-YR-0309-EP,0.41
DL13-YR-0409-EP,3.23
DL13-YR-0509-EP,6.56
DL13-YR-0609-EP,13.28
DL13-YR-0709-EP,13.56
DL13-YR-0809-EP,22.14
DL13-YR-0909-EP,1.01
DL13-YR-1009-EP,22.81
DL13-YR-1109-EP,4.55
DL13-YR-1209-EP,15.63
DL13-YR-1309-EP,9.29
DL13-YR-1409-EP,2.07
DL13-YR-0210-EP,18.14
DL13-YR-0310-EP,14.77
DL13-YR-0410-EP,17.27
DL13-YR-0510-EP,16.33
DL13-YR-0610-EP,14.30
DL13-YR-0810-EP,19.29
DL13-YR-0910-EP,22.74
DL13-YR-1010-EP,2.71
DL13-YR-1110-EP,27.50
DL13-YR-1210-EP,20.47
DL13-YR-1310-EP,25.51
DL13-YR-1410-EP,16.07
DL13-YR-1610-EP,16.78
DL13-YR-0111-EP,15.08
DL13-YR-0411-EP,5.49
DL13-YR-0611-EP,6.48
DL13-YR-0711-EP,15.94
DL13-YR-0811-EP,4.01
DL13-YR-0911-EP,1.78
DL13-YR-1011-EP,9.56
DL13-YR-1111-EP,0.66
DL13-YR-1211-EP,20.32
DL13-YR-1411-EP,12.16
DL13-YR-1511-EP,13.63
DL13-YR-1611-EP,8.05
DL13-YR-0112-EP,4.03
DL13-YR-0212-EP,18.66
DL13-YR-0312-EP,12.01
DL13-YR-0412-EP,8.64
DL13-YR-0512-EP,12.77
DL13-YR-0612-EP,6.47
DL13-YR-0712-EP,11.91
DL13-YR-0812-EP,15.50
DL13-YR-0912-EP,15.76
DL13-YR-1112-EP,26.54
DL13-YR-1212-EP,1.16
DL13-YR-1312-EP,10.33
DL13-YR-1412-EP,17.04
DL13-YR-1512-EP,14.76
DL13-YR-1612-EP,8.01